"","GEOID","total_population","white_population","non_white_percent"
"1","360470133001",1019,635,37.6840039254171
"2","360470133004",1153,778,32.5238508239376
"3","360470134003",1399,808,42.2444603288063
"4","360470135003",1272,791,37.814465408805
"5","360470136003",831,558,32.8519855595668
"6","360470137001",1091,770,29.4225481209899
"7","360470138001",1541,921,40.2336145360156
"8","360470139001",909,661,27.2827282728273
"9","360470139004",760,429,43.5526315789474
"10","360470141011",1621,874,46.0826650215916
"11","360470142001",1251,758,39.4084732214229
"12","360470149023",1162,734,36.8330464716007
"13","360470151001",903,716,20.7087486157254
"14","360470151003",1019,744,26.9872423945044
"15","360470152002",840,512,39.0476190476191
"16","360470153002",911,732,19.648737650933
"17","360470154001",9,3,66.6666666666667
"18","360470155003",1027,785,23.5637779941577
"19","360470157002",1030,837,18.7378640776699
"20","360470159001",984,755,23.2723577235772
"21","360470159004",988,774,21.6599190283401
"22","360470160001",1333,737,44.7111777944486
"23","360470160003",1178,572,51.4431239388795
"24","360470161002",0,0,NA
"25","360470162001",1027,543,47.1275559883155
"26","360470163002",1907,985,48.348190875721
"27","360470164000",0,0,NA
"28","360470169005",663,471,28.9592760180996
"29","360470170003",1271,632,50.2753737214792
"30","360470171002",742,637,14.1509433962264
"31","360470172001",1802,646,64.1509433962264
"32","360470174001",1020,495,51.4705882352941
"33","360470176000",0,0,NA
"34","360470177001",15,2,86.6666666666667
"35","360470179001",1417,49,96.5419901199718
"36","360470180001",1447,547,62.1976503109883
"37","360470181002",846,498,41.1347517730496
"38","360470182001",1228,285,76.7915309446254
"39","360470183001",1208,728,39.7350993377483
"40","360470184001",1231,322,73.842404549147
"41","360470185012",1599,76,95.2470293933709
"42","360470186001",1277,279,78.1519185591229
"43","360610311000",0,0,NA
"44","360610317031",753,497,33.9973439575033
"45","360610317040",0,0,NA
"46","360610317043",3884,2203,43.2801235839341
"47","360610319001",3,1,66.6666666666667
"48","360810664012",1523,42,97.2422849638871
"49","360810664023",1479,67,95.4699121027721
"50","360810664033",1280,21,98.359375
"51","360810665012",978,818,16.359918200409
"52","360810667011",1552,1080,30.4123711340206
"53","360810669002",799,602,24.6558197747184
"54","360810677001",902,680,24.6119733924612
"55","360810679002",2596,988,61.9414483821264
"56","360810680002",1538,36,97.6592977893368
"57","360810682001",770,21,97.2727272727273
"58","360810683001",1745,273,84.3553008595989
"59","360810687001",1297,536,58.6738627602159
"60","360810697023",1090,454,58.348623853211
"61","360810703002",1094,474,56.672760511883
"62","360810707003",1125,587,47.8222222222222
"63","360810711001",1138,535,52.98769771529
"64","360810711004",1176,638,45.7482993197279
"65","360810713033",1818,1114,38.7238723872387
"66","360810713043",929,610,34.3379978471475
"67","360810713052",1370,738,46.1313868613139
"68","360810713061",1707,775,54.5987111892209
"69","360810713064",999,416,58.3583583583584
"70","360810717012",1216,458,62.3355263157895
"71","360810717021",2609,1068,59.0647757761595
"72","360810719002",1666,629,62.2448979591837
"73","360810721003",1202,659,45.1747088186356
"74","360810721005",1021,543,46.8168462291871
"75","360810723003",851,446,47.5910693301998
"76","360810743002",949,549,42.1496311907271
"77","360810743004",1262,590,53.2488114104596
"78","360810747001",2319,761,67.1841310909875
"79","360810749002",800,445,44.375
"80","360810757013",1580,650,58.8607594936709
"81","360810757023",1810,754,58.3425414364641
"82","360810769021",1390,625,55.0359712230216
"83","360810773003",613,392,36.0522022838499
"84","360810775003",692,379,45.2312138728324
"85","360810779023",1385,1189,14.1516245487365
"86","360810779031",759,284,62.5823451910408
"87","360810779041",1167,593,49.1859468723222
"88","360810779044",1201,874,27.2273105745212
"89","360470188001",1289,529,58.9604344453064
"90","360470194003",1134,337,70.2821869488536
"91","360470195003",1245,561,54.9397590361446
"92","360470196002",1380,585,57.6086956521739
"93","360470197002",924,527,42.965367965368
"94","360470197004",965,523,45.8031088082902
"95","360470199001",619,317,48.7883683360258
"96","360470199004",1087,480,55.8417663293468
"97","360470201001",802,463,42.2693266832918
"98","360470201004",977,530,45.7523029682702
"99","360470203001",1219,659,45.9392945036915
"100","360470204002",1006,629,37.4751491053678
"101","360470205003",1132,627,44.6113074204947
"102","360470206002",1188,703,40.8249158249158
"103","360470207003",1271,802,36.9000786782061
"104","360470208003",1383,368,73.3911785972523
"105","360470210003",1376,477,65.3343023255814
"106","360470216002",1141,1019,10.692375109553
"107","360470217002",2625,887,66.2095238095238
"108","360470218003",1334,884,33.7331334332834
"109","360470219003",1682,676,59.8097502972652
"110","360470220002",1244,963,22.588424437299
"111","360470221001",1577,528,66.5187064045656
"112","360470222001",2043,1751,14.29270680372
"113","360470224001",1247,1088,12.7506014434643
"114","360470224004",1813,1336,26.3099834528406
"115","360470227001",920,286,68.9130434782609
"116","360470227004",1575,561,64.3809523809524
"117","360470228003",720,547,24.0277777777778
"118","360470229002",940,346,63.1914893617021
"119","360470230001",1732,1204,30.4849884526559
"120","360470231001",1234,533,56.807131280389
