,GEOID,total_population,white_population,non_white_percent
1255,360810246001,1,1,0.00
5821,360810607011,3,3,0.00
5646,360470529001,1033,999,3.29
2319,360470754002,685,662,3.36
3188,360470350001,1865,1797,3.65
3052,360810916034,1938,1862,3.92
3054,360810916036,1023,979,4.30
3053,360810916035,834,797,4.44
5654,360470533003,1413,1348,4.60
437,360470458002,744,709,4.70
434,360470452001,1278,1216,4.85
724,360470754001,717,682,4.88
338,360470356022,2422,2303,4.91
3189,360470350002,1217,1157,4.93
5921,360470545002,1234,1173,4.94
727,360470610022,2036,1935,4.96
3197,360470354003,1485,1403,5.52
165,360810916032,661,623,5.75
6599,360470620002,845,794,6.04
3070,360810928003,1191,1116,6.30
4790,360470476002,1111,1041,6.30
3196,360470354002,2120,1985,6.37
395,360811551011,1945,1821,6.38
1837,360470610023,1754,1640,6.50
3200,360470356021,1030,963,6.50
4786,360470472001,923,862,6.61
3064,360810922001,892,832,6.73
2284,360470702011,773,720,6.86
726,360470760001,639,595,6.89
6222,360470236001,1652,1536,7.02
5660,360470535003,709,659,7.05
6217,360470234001,1859,1727,7.10
567,360470537001,1215,1128,7.16
443,360470474002,1362,1261,7.42
6598,360470616001,1854,1716,7.44
490,360470509002,2804,2592,7.56
166,360810922003,513,474,7.60
4751,360470442002,1205,1112,7.72
3065,360810922002,803,741,7.72
511,360470533005,1333,1230,7.73
6577,360470596002,993,916,7.75
2318,360470752001,1042,961,7.77
3656,360811010021,2724,2510,7.86
3199,360470356011,2902,2674,7.86
5655,360470533004,1727,1591,7.87
3069,360810928002,1023,942,7.92
5653,360470533001,1551,1427,7.99
510,360470533002,1091,1002,8.16
6229,360470562002,855,785,8.19
294,360470354001,1888,1733,8.21
5651,360470531021,3727,3421,8.21
3058,360810918001,12,11,8.33
2285,360470702012,896,821,8.37
6219,360470234003,2087,1911,8.43
2313,360470744001,1329,1216,8.50
4775,360470454002,1058,968,8.51
214,360810934013,1042,953,8.54
692,360470612001,1063,972,8.56
3284,360610122004,1178,1077,8.57
3206,360470360011,1094,1000,8.59
693,360470620001,922,842,8.68
168,360810928001,990,901,8.99
2833,360850244022,2149,1955,9.03
3271,360610118003,819,745,9.04
2145,360810779022,1560,1418,9.10
2190,360850156023,757,688,9.11
713,360470702013,1038,942,9.25
4787,360470472003,1067,968,9.28
1055,360610106016,1232,1116,9.42
3561,360610128002,816,739,9.44
1202,360610130001,905,819,9.50
2320,360470758001,873,789,9.62
3784,360470396001,744,672,9.68
121,360470232001,1425,1287,9.68
442,360470472002,1109,1001,9.74
5662,360470537002,3089,2788,9.74
4169,360610142006,872,787,9.75
549,360850176001,1509,1358,10.01
2290,360470706011,907,816,10.03
3076,360810934012,1195,1075,10.04
5650,360470531011,1624,1460,10.10
367,360470394002,613,551,10.11
542,360850156021,817,733,10.28
4784,360470468001,2138,1918,10.29
566,360470535002,942,845,10.30
